Subject,Trial,Selection 0,Selection 1,Selection 2,Selection 3,Selection 4,Selection 5,Selection 6,Selction 7,Selection 8,Selection 9,Selection 10,Selection 11,Selection 12,Selection 13,Selection 14,Selection 15,Selection 16,Selection 17,Selection 18,Selection 19,Selection 20
1,1,0.5,0.65,0.65,0.7,0.65,0.65,0.65,0.7,0.7,0.65,0.69,0.68,0.7,0.73,0.7,0.69,0.71,0.73,0.73,0.73,0.73
1,2,0.5,0.65,0.65,0.7,0.65,0.65,0.65,0.7,0.7,0.65,0.69,0.68,0.7,0.73,0.7,0.69,0.71,0.73,0.73,0.73,0.73
1,3,0.5,0.65,0.65,0.7,0.65,0.65,0.65,0.7,0.7,0.65,0.69,0.68,0.7,0.73,0.7,0.69,0.71,0.73,0.73,0.73,0.73
2,1,0.56,0.51,0.48,0.49,0.59,0.74,0.65,0.62,0.47,0.52,0.53,0.58,0.57,0.47,0.52,0.57,0.58,0.56,0.66,0.72,0.68
2,1,0.51,0.61,0.56,0.54,0.54,0.59,0.54,0.53,0.47,0.42,0.41,0.46,0.48,0.53,0.53,0.55,0.6,0.6,0.7,0.69,0.69
2,2,0.51,0.61,0.56,0.54,0.54,0.59,0.54,0.53,0.47,0.42,0.41,0.46,0.48,0.53,0.53,0.55,0.6,0.6,0.7,0.69,0.69
2,3,0.51,0.61,0.56,0.54,0.54,0.59,0.54,0.53,0.47,0.42,0.41,0.46,0.48,0.53,0.53,0.55,0.6,0.6,0.7,0.69,0.69
3,1,0.5,0.53,0.58,0.58,0.58,0.68,0.68,0.68,0.68,0.68,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.79
3,2,0.5,0.53,0.58,0.58,0.58,0.68,0.68,0.68,0.68,0.68,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.79
3,3,0.5,0.53,0.58,0.58,0.58,0.68,0.68,0.68,0.68,0.68,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.79
4,1,0.5,0.55,0.6,0.6,0.7,0.75,0.7,0.75,0.8,0.85,0.9,0.89,0.9,0.96,0.95,0.94,0.95,0.96,0.97,0.98,0.99
4,2,0.5,0.55,0.6,0.6,0.7,0.75,0.7,0.75,0.8,0.85,0.9,0.89,0.9,0.96,0.95,0.94,0.95,0.96,0.97,0.98,0.99
4,3,0.5,0.55,0.6,0.6,0.7,0.75,0.7,0.75,0.8,0.85,0.9,0.89,0.9,0.96,0.95,0.94,0.95,0.96,0.97,0.98,0.99
5,1,0.65,0.65,0.65,0.64,0.64,0.65,0.65,0.66,0.66,0.61,0.61,0.6,0.61,0.61,0.6,0.35,0.65,0.65,0.65,0.3,0.65
5,2,0.65,0.65,0.65,0.64,0.64,0.65,0.65,0.66,0.66,0.61,0.61,0.6,0.61,0.61,0.6,0.35,0.65,0.65,0.65,0.3,0.65
5,3,0.65,0.65,0.65,0.64,0.64,0.65,0.65,0.66,0.66,0.61,0.61,0.6,0.61,0.61,0.6,0.35,0.65,0.65,0.65,0.3,0.65
6,1,0.5,0.65,0.67,0.7,0.75,0.3,0.25,0.7,0.7,0.3,0.4,0.4,0.4,0.65,0.35,0.35,0.7,0.7,0.7,0.3,0.65
6,2,0.5,0.65,0.67,0.7,0.75,0.3,0.25,0.7,0.7,0.3,0.4,0.4,0.4,0.65,0.35,0.35,0.7,0.7,0.7,0.3,0.65
6,3,0.5,0.65,0.67,0.7,0.75,0.3,0.25,0.7,0.7,0.3,0.4,0.4,0.4,0.65,0.35,0.35,0.7,0.7,0.7,0.3,0.65
7,1,0.6,0.65,0.68,0.84,0.84,0.86,0.85,0.85,0.85,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.79,0.79,0.79,0.69,0.69
7,2,0.6,0.65,0.68,0.84,0.84,0.86,0.85,0.85,0.85,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.79,0.79,0.79,0.69,0.69
7,3,0.6,0.65,0.68,0.84,0.84,0.86,0.85,0.85,0.85,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.79,0.79,0.79,0.69,0.69
8,1,0.5,0.6,0.72,0.62,0.77,0.67,0.62,0.67,0.72,0.67,0.72,0.67,0.72,0.77,0.72,0.72,0.72,0.77,0.82,0.77,0.82
8,2,0.5,0.5,0.45,0.4,0.35,0.3,0.25,0.2,0.15,0.15,0.25,0.3,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
8,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
